id,year,male,mono_index,sampyearsum,sociality,inno_count,domain_index,domain,age,logsampeff,MainGroup,group,rank_class,inno_count_ND,sociality.s,logage,logage.c,group_index,year_index,rankhi,rankmid,ranklo,innobinom,groupsize.c,innovator,innovatoryear
HC,2008,1,90,377,58.2,0,1,foraging,4,5.932245187,RR,RR,low,0,0.105825874,1.386294361,-0.413898909,9,2,0,0,1,0,7.819332566,0,0
HC,2008,1,90,377,58.2,0,2,investigative,4,5.932245187,RR,RR,low,0,0.105825874,1.386294361,-0.413898909,9,2,0,0,1,0,7.819332566,0,0
HC,2009,1,90,427,57.7,0,1,foraging,5,6.056784013,RR,RR,low,0,0.079128236,1.609437912,-0.190755358,9,3,0,0,1,0,7.819332566,0,0
HC,2009,1,90,427,57.7,0,3,self-directed,5,6.056784013,RR,RR,low,0,0.079128236,1.609437912,-0.190755358,9,3,0,0,1,0,7.819332566,0,0
HC,2009,1,90,427,57.7,0,4,social,5,6.056784013,RR,RR,low,0,0.079128236,1.609437912,-0.190755358,9,3,0,0,1,0,7.819332566,0,0
HC,2009,1,90,427,57.7,0,2,investigative,5,6.056784013,RR,RR,low,0,0.079128236,1.609437912,-0.190755358,9,3,0,0,1,0,7.819332566,0,0
HC,2010,1,90,2149,51.3,0,3,self-directed,6,7.672757897,RR,RR,low,0,-0.262601533,1.791759469,-0.008433801,9,4,0,0,1,0,10.81933257,0,0
HC,2010,1,90,2149,51.3,0,2,investigative,6,7.672757897,RR,RR,low,0,-0.262601533,1.791759469,-0.008433801,9,4,0,0,1,0,10.81933257,0,0
HC,2010,1,90,2149,51.3,0,4,social,6,7.672757897,RR,RR,low,0,-0.262601533,1.791759469,-0.008433801,9,4,0,0,1,0,10.81933257,0,0
HC,2010,1,90,2149,51.3,0,1,foraging,6,7.672757897,RR,RR,low,0,-0.262601533,1.791759469,-0.008433801,9,4,0,0,1,0,10.81933257,0,0
HE,2007,1,91,597,53.6,0,3,self-directed,16,6.391917113,FL,FL,high,0,-0.139792397,2.772588722,0.972395452,4,1,1,0,0,0,-6.180667434,1,1
HE,2007,1,91,597,53.6,0,1,foraging,16,6.391917113,FL,FL,high,0,-0.139792397,2.772588722,0.972395452,4,1,1,0,0,0,-6.180667434,1,1
HE,2007,1,91,597,53.6,0,4,social,16,6.391917113,FL,FL,high,0,-0.139792397,2.772588722,0.972395452,4,1,1,0,0,0,-6.180667434,1,1
HE,2007,1,91,597,53.6,0,2,investigative,16,6.391917113,FL,FL,high,0,-0.139792397,2.772588722,0.972395452,4,1,1,0,0,0,-6.180667434,1,1
HE,2008,1,91,551,32.8,0,2,investigative,17,6.311734809,FL,FL,high,0,-1.250414147,2.833213344,1.033020074,4,2,1,0,0,0,-7.180667434,1,1
HE,2008,1,91,551,32.8,0,3,self-directed,17,6.311734809,FL,FL,high,0,-1.250414147,2.833213344,1.033020074,4,2,1,0,0,0,-7.180667434,1,1
HE,2008,1,91,551,32.8,0,4,social,17,6.311734809,FL,FL,high,0,-1.250414147,2.833213344,1.033020074,4,2,1,0,0,0,-7.180667434,1,1
HE,2008,1,91,551,32.8,0,1,foraging,17,6.311734809,FL,FL,high,0,-1.250414147,2.833213344,1.033020074,4,2,1,0,0,0,-7.180667434,1,1
HE,2009,1,91,714,36.8,0,4,social,18,6.570882962,FL,FL,high,0,-1.036833041,2.890371758,1.090178488,4,3,1,0,0,0,-9.180667434,1,1
HE,2009,1,91,714,36.8,0,3,self-directed,18,6.570882962,FL,FL,high,0,-1.036833041,2.890371758,1.090178488,4,3,1,0,0,0,-9.180667434,1,1
HE,2009,1,91,714,36.8,0,2,investigative,18,6.570882962,FL,FL,high,0,-1.036833041,2.890371758,1.090178488,4,3,1,0,0,0,-9.180667434,1,1
HE,2009,1,91,714,36.8,0,1,foraging,18,6.570882962,FL,FL,high,0,-1.036833041,2.890371758,1.090178488,4,3,1,0,0,0,-9.180667434,1,1
HE,2010,1,91,547,23.8,0,4,social,19,6.304448802,FL,FL,high,1,-1.730971635,2.944438979,1.144245709,4,4,1,0,0,0,-10.18066743,1,1
HE,2010,1,91,547,23.8,1,3,self-directed,19,6.304448802,FL,FL,high,1,-1.730971635,2.944438979,1.144245709,4,4,1,0,0,1,-10.18066743,1,1
HE,2010,1,91,547,23.8,0,2,investigative,19,6.304448802,FL,FL,high,1,-1.730971635,2.944438979,1.144245709,4,4,1,0,0,0,-10.18066743,1,1
HE,2010,1,91,547,23.8,0,1,foraging,19,6.304448802,FL,FL,high,1,-1.730971635,2.944438979,1.144245709,4,4,1,0,0,0,-10.18066743,1,1
HE,2011,1,91,654,29.3,0,4,social,20,6.483107351,FL,FL,high,0,-1.437297615,2.995732274,1.195539003,4,5,1,0,0,0,-6.180667434,1,1
HE,2011,1,91,654,29.3,0,2,investigative,20,6.483107351,FL,FL,high,0,-1.437297615,2.995732274,1.195539003,4,5,1,0,0,0,-6.180667434,1,1
HE,2011,1,91,654,29.3,0,3,self-directed,20,6.483107351,FL,FL,high,0,-1.437297615,2.995732274,1.195539003,4,5,1,0,0,0,-6.180667434,1,1
HE,2011,1,91,654,29.3,0,1,foraging,20,6.483107351,FL,FL,high,0,-1.437297615,2.995732274,1.195539003,4,5,1,0,0,0,-6.180667434,1,1
HK,2009,1,92,213,95,0,4,social,1,5.361292166,FF,FF,low,0,2.070772047,0,-1.80019327,3,3,0,0,1,0,-4.180667434,1,1
HK,2009,1,92,213,95,0,2,investigative,1,5.361292166,FF,FF,low,0,2.070772047,0,-1.80019327,3,3,0,0,1,0,-4.180667434,1,1
HK,2009,1,92,213,95,0,1,foraging,1,5.361292166,FF,FF,low,0,2.070772047,0,-1.80019327,3,3,0,0,1,0,-4.180667434,1,1
HK,2009,1,92,213,95,0,3,self-directed,1,5.361292166,FF,FF,low,0,2.070772047,0,-1.80019327,3,3,0,0,1,0,-4.180667434,1,1
